Zone,plotID,Site,comp,comp_name,div.lev,TopH,ENL,meanFrac,SSCI,can.open,plot,Clim.zone,SR.log2,FSI_mean,FSI_se,FENL_mean,FENL_se,FMFrac_mean,FMFrac_se,ref_n,SSCI_sc,meanFrac_sc,ENL_sc,FSI_sc,FMFrac_sc,FENL_sc,FSI_comp
ASref,30,AguaSalud,3,AnEx,1,25,10.87984089,1.987310632,5.151503489,13.86,389,Humid,0,0.762737995,0.010597614,0.916305547,0.033425898,0.917005867,0.01036722,11,0.755676957,0.737609564,-0.364712046,0.776486923,0.690962178,-0.232935863,0.009399753
ASref,31,AguaSalud,3,AnEx,1,17,8.057525022,2.083124088,4.624162264,27.06,401,Humid,0,0.711967581,0.010072841,0.771126912,0.032178527,0.940587002,0.010176757,11,0.277781654,1.142483154,-1.042946692,0.346517534,1.022582506,-1.108741686,0.008175255
ASref,32,AguaSalud,3,AnEx,1,19,7.928569248,1.494762965,2.29851437,99.99,424,Humid,0,0.431325326,0.007603472,0.762128319,0.031160023,0.778326614,0.009453694,11,-1.829802871,-1.343721706,-1.073936234,-2.030212685,-1.259277214,-1.163026672,0.00632064
ASref,33,AguaSalud,4,PaQu,1,15,8.95859669,1.661224654,3.042857115,95.965,176,Humid,0,0.533754213,0.008960465,0.821675208,0.032624341,0.829595879,0.009908359,11,-1.155253102,-0.640313809,-0.826408908,-1.162753034,-0.538280107,-0.803803621,0.007402181
ASref,34,AguaSalud,4,PaQu,1,22.5,8.038645017,2.261162874,5.124173625,27.71,185,Humid,0,0.760122061,0.010454114,0.768853995,0.031619854,0.981587232,0.010510478,11,0.730909666,1.894811745,-1.047483773,0.754332846,1.599166693,-1.122453305,0.008614862
ASref,35,AguaSalud,4,PaQu,1,19,10.55761642,1.682688404,3.409229735,95.49,219,Humid,0,0.579644125,0.009072315,0.903011096,0.031308324,0.835742563,0.010127905,11,-0.823233252,-0.549615635,-0.442146256,-0.774116121,-0.451839599,-0.313136075,0.008213154
ASref,36,AguaSalud,4,PaQu,1,26,7.865052719,1.770595858,3.248843533,87.27,231,Humid,0,0.559593216,0.008804138,0.758494848,0.031076193,0.860415448,0.010219839,11,-0.968580911,-0.178149998,-1.089199979,-0.943925192,-0.10486605,-1.184945979,0.007163992
ASref,37,AguaSalud,4,PaQu,1,16,6.319564469,1.891162273,3.237360958,15.6,257,Humid,0,0.55805067,0.008654602,0.660575931,0.029929088,0.892786195,0.010072588,11,-0.978986828,0.331320793,-1.460598407,-0.956988858,0.350362149,-1.775652446,0.006545222
ASref,38,AguaSalud,4,PaQu,1,14,7.511542659,1.984232091,3.981783237,61.8,291,Humid,0,0.644966565,0.00927665,0.736240351,0.030614609,0.916014323,0.010339908,11,-0.304364982,0.724600745,-1.174152472,-0.220907139,0.677018148,-1.319198645,0.007541999
ASref,39,AguaSalud,4,PaQu,1,25,8.277872195,2.109728629,4.844854957,1.97,302,Humid,0,0.734225671,0.010252121,0.782042568,0.031605835,0.947129572,0.01052085,11,0.477781192,1.254904482,-0.989994757,0.535019001,1.114590346,-1.042891813,0.008365842
ASref,40,AguaSalud,4,PaQu,1,18,7.859779104,1.892186571,3.724198245,96.09,337,Humid,0,0.616149325,0.009213882,0.757931476,0.031734897,0.892961826,0.009970758,11,-0.537797628,0.335649112,-1.090467289,-0.464957357,0.352832032,-1.188344584,0.007511772
ASref,41,AguaSalud,4,PaQu,1,26,7.441980509,2.124147182,4.536326774,-0.05,372,Humid,0,0.703841128,0.009761968,0.733473335,0.031023779,0.950499931,0.010411585,11,0.19818202,1.31583216,-1.190869049,0.277695446,1.161987534,-1.335890967,0.007882502
ASref,42,AguaSalud,4,PaQu,1,18,7.473339986,2.410185987,5.867246558,99.99,419,Humid,0,0.824776573,0.010775507,0.732931721,0.030122333,1.013532927,0.01014839,11,1.404308686,2.524530422,-1.18333301,1.301885221,2.048417402,-1.33915831,0.008560609
ASref,43,AguaSalud,4,PaQu,1,22,10.19480537,1.4139172,2.234941559,100,422,Humid,0,0.421835177,0.007117814,0.884691138,0.032241999,0.751925156,0.009534191,11,-1.887414805,-1.685347157,-0.529333883,-2.110583773,-1.630559607,-0.423653206,0.007016
ASref,44,AguaSalud,5,TaRo,1,22.66666667,12.65895086,1.521610606,2.905714931,96.66,171,Humid,0,0.516080892,0.008480879,0.994148937,0.032768517,0.786437505,0.009490625,11,-1.279536208,-1.230273123,0.062828342,-1.312426566,-1.145214173,0.236662814,0.00835647
ASref,45,AguaSalud,5,TaRo,1,19.5,9.340948757,1.826786746,3.835473204,35.735,186,Humid,0,0.629208075,0.009496161,0.84230709,0.031770686,0.875663924,0.010417389,11,-0.436956318,0.059292711,-0.734525352,-0.354364156,0.109572508,-0.67933956,0.008138911
ASref,46,AguaSalud,5,TaRo,1,25,11.78147029,1.780538263,4.152944979,20.75,207,Humid,0,0.663772433,0.009507855,0.956160584,0.032733769,0.863418783,0.00962714,11,-0.149252146,-0.13613693,-0.148040232,-0.061642184,-0.062630299,0.007493963,0.009071846
ASref,47,AguaSalud,5,TaRo,1,16,8.383924363,1.684672828,3.031403217,100,267,Humid,0,0.531900351,0.008614491,0.787798753,0.031093024,0.835745466,0.010124663,11,-1.16563303,-0.541230165,-0.964509213,-1.178453205,-0.451798781,-1.008167004,0.007165296
ASref,48,AguaSalud,5,TaRo,1,28,16.77120153,1.669093312,4.239556358,58.79,275,Humid,0,0.672483683,0.009713711,1.131370935,0.03251441,0.831649896,0.009956405,11,-0.070761846,-0.607063659,1.051049013,0.012132486,-0.509394577,1.064469367,0.010224856
ASref,49,AguaSalud,5,TaRo,1,14,9.041031614,1.653360151,3.02548952,99.6,297,Humid,0,0.531378079,0.008526686,0.825821034,0.031134192,0.82718531,0.010153018,11,-1.170992232,-0.673546402,-0.806598857,-1.182876272,-0.572179816,-0.778793476,0.007411509
ASref,50,AguaSalud,5,TaRo,1,18,8.258241579,1.72651199,3.167489817,100,318,Humid,0,0.549855913,0.008943846,0.78054258,0.030938436,0.847799039,0.00978671,11,-1.042306531,-0.364432746,-0.994712218,-1.026389404,-0.282289974,-1.051940653,0.007232358
ASref,51,AguaSalud,5,TaRo,1,23,8.391527386,1.568992966,2.606930155,80.85,349,Humid,0,0.475519289,0.008071893,0.789811984,0.032212612,0.80146462,0.009814535,11,-1.550305559,-1.030052121,-0.96268212,-1.655938581,-0.933888598,-0.996021971,0.006803851
ASref,52,AguaSalud,5,TaRo,1,21,6.254287082,2.14591326,4.054466249,22.24,370,Humid,0,0.653255702,0.009561369,0.656724,0.029197607,0.955957653,0.010321884,11,-0.238497061,1.407807864,-1.476285307,-0.150707293,1.238739201,-1.798889636,0.007110287
ASref,53,AguaSalud,5,TaRo,1,18,8.734839946,1.611548614,2.812954523,100,381,Humid,0,0.503396384,0.008476783,0.809657381,0.030894538,0.814814879,0.009794345,11,-1.363598977,-0.850227087,-0.880180202,-1.419850349,-0.746144574,-0.876302466,0.007125841
ASref,54,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,22,17.51218407,1.723370745,4.869911011,7.28,180,Humid,2.321928095,0.735824038,0.010261673,1.152078658,0.033275013,0.846655209,0.00989858,11,0.500487876,-0.37770653,1.229115556,0.548555406,-0.298375599,1.189390948,0.010656267
ASref,55,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,22.5,14.97142581,1.9811829,6.362171232,4.345,188,Humid,2.321928095,0.864392815,0.011031535,1.073887172,0.031863032,0.91561136,0.010194405,11,1.852826962,0.711715948,0.61854241,1.637391074,0.671351299,0.717692346,0.010994556
